Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity,Sex_of_driver_encoded,Owner_of_vehicle_Organization,Owner_of_vehicle_Other,Owner_of_vehicle_Owner,Accident_severity_encoded,Time_seconds,Time_binned,Number_of_vehicles_scaled,Number_of_casualties_scaled,Casualty_severity_numeric,Casualty_severity_decimal_scaled,Time_scaled
19:31:00,Wednesday,18-30,Male,Junior high school,Employee,5-10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Changing lane to the left,Slight Injury,1,0.0,0.0,1.0,0.0,70260,Malam,0.33333333333333337,-0.5442638586190858,3,0.3,0.7026
18:15:00,Thursday,Under 18,Male,Elementary school,Employee,Above 10yr,Stationwagen,Owner,Unknown,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Turnover,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,1,0.0,0.0,1.0,0.0,65700,Malam,0.16666666666666666,1.4415615547278733,3,0.3,0.657
22:20:00,Sunday,18-30,Male,Elementary school,Employee,5-10yr,Public (12 seats),Governmental,Unknown,No defect,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,31-50,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,1,0.0,0.0,0.0,0.0,80400,Malam,0.16666666666666666,-0.5442638586190858,3,0.3,0.804
0:17:00,Sunday,Under 18,Male,Junior high school,Employee,2-5yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Reversing,Driver or rider,Male,31-50,3,Self-employed,Normal,Not a Pedestrian,No distancing,Slight Injury,1,0.0,0.0,1.0,0.0,1020,Malam,0.16666666666666666,0.44864884805439376,3,0.3,0.0102
13:00:00,Thursday,18-30,Male,Junior high school,Employee,1-2yr,Automobile,Owner,2-5yrs,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,31-50,3,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,1,0.0,0.0,1.0,0.0,46800,Siang,0.16666666666666666,-0.5442638586190858,3,0.3,0.468
8:00:00,Wednesday,31-50,Male,Above high school,Owner,1-2yr,Public (13?45 seats),Owner,Unknown,No defect,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with animals,3,1,Going straight,Driver or rider,Male,18-30,3,Driver,Normal,Not a Pedestrian,Moving Backward,Slight Injury,1,0.0,0.0,1.0,0.0,28800,Pagi,0.33333333333333337,-0.5442638586190858,3,0.3,0.288
21:33:00,Saturday,Under 18,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,No distancing,Fatal injury,1,0.0,0.0,1.0,2.0,77580,Malam,0.0,-0.5442638586190858,0,0.0,0.7758
17:12:00,Wednesday,31-50,Male,Junior high school,Employee,Above 10yr,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Driver,Normal,Not a Pedestrian,Driving carelessly,Slight Injury,1,0.0,0.0,1.0,0.0,61920,Sore,0.16666666666666666,-0.5442638586190858,0,0.0,0.6192
8:10:00,Thursday,31-50,Male,Elementary school,Employee,Above 10yr,Automobile,Owner,2-5yrs,No defect, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Passenger,Male,31-50,3,Driver,Normal,Not a Pedestrian,No priority to vehicle,Slight Injury,1,0.0,0.0,1.0,0.0,29400,Pagi,0.0,0.44864884805439376,3,0.3,0.294
16:51:00,Wednesday,31-50,Male,High school,Employee,Below 1yr,Public (> 45 seats),Owner,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,Over 51,2,Other,Normal,"Walking along in carriageway, back to traffic",No distancing,Serious Injury,1,0.0,0.0,1.0,1.0,60660,Sore,0.0,-0.5442638586190858,2,0.2,0.6066
